"mins","seconds","result","replicate","sample_id"
0,0,2.66,1,"1-320-147"
0,0,2.61,2,"1-320-147"
0,0,2.63,3,"1-320-147"
0,0,3,0,"1-320-150"
0,0,2.89,1,"1-320-150"
0,0,2.72,2,"1-320-150"
0,0,2.91,3,"1-320-150"
0,0,2.98,0,"1-320-152"
0,0,2.75,1,"1-320-152"
0,0,3.01,2,"1-320-152"
0,0,2.8,3,"1-320-152"
0,0,3.01,0,"1-320-152-dup"
0,0,2.67,1,"1-320-152-dup"
0,0,2.6,2,"1-320-152-dup"
0,0,2.77,3,"1-320-152-dup"
0,0,2.5,0,"1-320-156"
0,0,2.23,1,"1-320-156"
0,0,2.25,2,"1-320-156"
0,0,3,0,"1-320-158"
0,0,2.9,1,"1-320-158"
0,0,2.82,2,"1-320-158"
0,0,2.82,3,"1-320-158"
0,0,2.846836652,0,"1-320-35"
0,0,2.915054246,1,"1-320-35"
0,0,2.90340734,2,"1-320-35"
0,0,3.011557183,3,"1-320-35"
0,0,1.007573663,0,"1-320-29"
0,0,1.035335012,1,"1-320-29"
0,0,1.048399176,2,"1-320-29"
0,0,1.043500114,3,"1-320-29"
0,0,1.07964538,0,"1-320-40"
0,0,1.058634318,1,"1-320-40"
0,0,1.10550515,2,"1-320-40"
0,0,1.081261616,3,"1-320-40"
0,0,2.145708,0,"1-320-89"
0,0,1.994812,1,"1-320-89"
0,0,1.948383,2,"1-320-89"
0,0,2.054507,3,"1-320-89"
0,0,2.793586786,0,"1-320-89-dup"
0,0,2.770320745,1,"1-320-89-dup"
0,0,2.740407263,2,"1-320-89-dup"
0,0,2.901607691,3,"1-320-89-dup"
0,0,2.558476539,0,"1-320-90"
0,0,2.486852522,1,"1-320-90"
0,0,3.009874418,2,"1-320-90"
0,0,2.55181384,3,"1-320-90"
0,0,2.519795,0,"1-320-182"
0,0,2.204204,1,"1-320-182"
0,0,2.028328,2,"1-320-182"
0,0,1.987236,3,"1-320-182"
0,0,3.002996,0,"1-320-182-dup"
0,0,2.810645,1,"1-320-182-dup"
0,0,2.591763,2,"1-320-182-dup"
0,0,2.654775,3,"1-320-182-dup"
0,0,2.579028611,0,"1-320-183"
0,0,2.794517739,1,"1-320-183"
0,0,2.816750744,2,"1-320-183"
0,0,2.768864271,3,"1-320-183"
0,0,2.975802243,0,"1-320-183-dup"
0,0,2.938177157,1,"1-320-183-dup"
0,0,2.962120394,2,"1-320-183-dup"
0,0,3.010006867,3,"1-320-183-dup"
0,0,2.541882658,0,"1-320-184"
0,0,2.40679881,1,"1-320-184"
0,0,3.013028763,2,"1-320-184"
0,0,2.647313954,3,"1-320-184"
0,0,2.799682,0,"1-320-184-dup"
0,0,3.011228,1,"1-320-184-dup"
0,0,2.730268,2,"1-320-184-dup"
0,0,1.679148,3,"1-320-184-dup"
0,0,1.574879988,0,"1-320-185"
0,0,1.532048524,1,"1-320-185"
0,0,1.594648356,2,"1-320-185"
